headset,measure,Ambient,Labs,Rain,HeavyRain,Grass,Wood,LabsWalk,LabsRun,Bush,SV
Razor,peak,-21.77491771280017,-23.140528106392665,-17.866904597918435,-19.65221581904624,-16.742469388289855,-10.9138540954223,-15.390999559564445,-5.680039588865825,-10.701182240872368,-3.0764732114944353
Razor,0.001,-24.095335149261665,-23.44871550831315,-23.631094616852586,-23.3461402898636,-20.50515197704348,-11.781064101893827,-15.736675480801301,-9.087834256249366,-15.133968319567806,-4.570351269306604
Razor,0.005,-25.62916156148198,-25.69170770164799,-27.12777256287163,-25.55709505271605,-23.137890611914045,-13.302707452067699,-18.098699901759833,-12.024119425858647,-17.180517539205734,-6.082716522235806
Razor,0.015,-27.161093855061363,-27.39870282598238,-27.935789489014983,-26.576029389798364,-24.54267470433441,-14.421052971851726,-20.472917575639933,-13.729412600110605,-17.56499185145672,-8.361830572805623
Razor,0.025,-27.806617179497273,-27.83275172913516,-28.37718396030684,-27.09282276670017,-25.41506355176685,-15.323192112981918,-22.20572302803754,-14.86748535491994,-17.798399876565625,-9.780452102114971
Razor,0.05,-28.284511046103034,-28.836473703197232,-29.06967564428044,-27.43623403053007,-26.44966403982491,-17.523604691507746,-24.373779985366838,-17.2474248817696,-18.14675796968016,-10.762034460825811
Excel,average,-31.049781890861507,-31.192988153883746,-30.836626780964366,-30.34437705935932,-29.88113856986385,-26.217969291326465,-29.665508056216247,-23.524502843473524,-26.08359374114046,-21.215004111875277
Excel,peak,-22.293304323693555,-21.56088832221232,-17.475523189416272,-20.22340574855925,-16.789675775015695,-10.908949583530047,-15.632631181215697,-6.002744288225893,-11.572770531591681,-3.0479705952231164
Excel,0.001,-24.605410453907957,-23.027328045503005,-24.4223163588577,-24.46905683533144,-21.129345391234576,-11.258902230444834,-16.042469129693572,-9.36075630314829,-15.863562712702926,-4.564867240692495
Excel,0.005,-26.14518267753874,-25.382461316262845,-26.008423671886373,-26.727627040619023,-23.604349744076654,-12.826045030955571,-18.334823966303404,-11.88555735215812,-17.915867666524488,-5.195348223135614
Excel,0.015,-27.679037723862763,-26.136411020146824,-27.606756171549204,-27.76084368097688,-24.989910050735965,-14.030573358558154,-20.587061584814474,-13.045177517938075,-18.557914877213065,-7.311866032049659
Excel,0.025,-28.323162368149646,-26.540789938342172,-28.217094242181812,-28.504596392282092,-26.14874654202493,-15.039577805136524,-22.424166108865165,-14.087695475223256,-18.85700260040004,-8.833377981705556
Excel,0.05,-28.792919450289794,-27.24511658620528,-28.627136663390242,-28.989029787196145,-26.989658870191143,-17.231665069569853,-24.549880812764645,-16.533272132691817,-19.092771575322544,-10.384527656894884
Sports,average,-30.445006812984975,-28.75455077918282,-30.366048219455394,-29.901572967771777,-29.447207569145025,-25.446412120210226,-29.501694856185882,-22.788539052666188,-25.892158362043872,-18.894852827584838
Sports,peak,-21.96864924880893,-21.764956825821105,-16.292413107922204,-19.74807680550065,-17.294087247171635,-9.89433913618965,-15.626574919156258,-6.0466550016688085,-11.167288989341849,-3.4535698162511803
Sports,0.001,-23.895068208608503,-21.890791568174535,-23.284743470033614,-24.30062043105934,-21.44088162358852,-10.229887739192698,-16.045770240973283,-9.509930268109487,-15.910502240793614,-4.995289054254425
Sports,0.005,-26.055415369512176,-23.771436475976735,-25.84680296173527,-26.480695075758227,-23.56152824304777,-11.959383637291065,-17.875059187249693,-12.071014127143654,-17.202084048036546,-6.267337145661488
Sports,0.015,-26.840253130998523,-24.95103363246345,-26.82393868139166,-27.864436749396585,-24.615667091749405,-13.241093289170314,-20.014547457426804,-13.195829810154258,-17.451531271153414,-7.9809216607717826
Sports,0.025,-27.412775264568605,-25.92726360347488,-27.261472906663982,-28.488601905824318,-25.757789589966503,-14.420073735145547,-21.574602117427407,-13.821646554495224,-17.617412629025765,-8.834298139238454
Sports,0.05,-28.1513972541114,-26.753765733536685,-28.060866977805436,-28.888628569567967,-26.924195337333536,-16.744399660008387,-23.607427618102207,-15.862904932700415,-18.533954091290386,-10.478708708871263
Sordin,average,-31.473907213964885,-25.863310642365754,-31.465666676948704,-30.920826178411286,-30.082251943558425,-24.39248117666342,-28.42106784224557,-21.764692337439328,-25.82456406241445,-21.51696364221827
Sordin,peak,-22.780318789134817,-19.490124427646474,-18.15178997603281,-20.45996121192591,-17.262218776923827,-7.699847662889908,-14.440282292143332,-5.5086034746981465,-11.568964686397717,-3.3750962795110957
Sordin,0.001,-24.927591841543467,-19.64901956493535,-25.222893594900235,-24.907730600696866,-20.703235910579004,-7.965214650441562,-14.740101439672076,-6.688355719700359,-15.613280796347691,-5.308336443442664
Sordin,0.005,-27.075614408481123,-21.15013996744771,-26.794640744656423,-27.244934038584052,-21.962231761683476,-9.54964120370567,-16.54489522795625,-8.26618808099701,-17.309688061410647,-6.795913122053272
Sordin,0.015,-27.85715772750294,-21.798496391589612,-28.291911166942466,-28.300329531124433,-25.146388507916857,-10.64983831326494,-18.11002618815182,-9.502464164364623,-18.13207528357613,-9.356909834758202
Sordin,0.025,-28.43326922648696,-22.243999443054058,-28.753826321121515,-28.930812166481484,-26.47723981668161,-11.83010283590831,-19.682187083208724,-11.005443465791808,-18.47205061797673,-10.89803483913354
Sordin,0.05,-29.1701802164164,-23.01771086990959,-29.269571820769325,-29.535093111561665,-27.135649846047688,-13.924493086913186,-22.04070697629678,-13.073392748826658,-18.591334155734884,-11.806269515982553
RAC,average,-32.08904268921899,-26.361070279657707,-31.988980344068004,-30.755244928205038,-30.362179434981933,-25.11382057525687,-28.8789332282143,-23.334062004804714,-25.963912375181863,-22.36516898135242
RAC,peak,-23.473946315005783,-19.6644667293393,-17.879086779311613,-20.644314828042603,-17.358534437018932,-7.955595637682633,-14.910669009563858,-5.385614346255688,-12.32884463031446,-3.653077731111593
RAC,0.001,-25.434786585599618,-19.801989817668368,-24.78589765349487,-24.81227235363366,-21.515923345266007,-8.134391882416775,-15.290828691491956,-9.462762715748033,-16.797557611723292,-5.3858251501852275
RAC,0.005,-27.5711448073957,-21.70591192694407,-27.165012419632028,-27.11264020045408,-23.412149691776662,-9.646210194114673,-17.09452754752097,-12.271549687676124,-18.656494729432083,-7.796931205647256
RAC,0.015,-28.36435344202338,-22.207564874481356,-28.653281076652867,-28.020945533541592,-25.217673453500822,-11.082321886435707,-19.148993917421905,-14.709211283410673,-19.29502990203022,-10.498035703749277
RAC,0.025,-28.933680814490067,-22.74264143761133,-29.310499543842145,-28.231477380919184,-26.255689155841765,-12.325269060195252,-20.60474766056949,-15.388887057993905,-19.411562781592362,-12.071902543256607
RAC,0.05,-29.674465272821912,-23.98873813972314,-29.777550274126206,-28.738578000284708,-26.879041088592825,-14.363449351311207,-22.779090463480188,-17.392120821214533,-19.670066141514013,-13.406407997521688
